Isolate,ASNase,GLNase,SDH,GO,ADI,MGL
VL 1,1,0,0,0,1,0
VL 2,1,1,1,1,1,0
VL 3,1,1,0,0,1,0
VL 4,1,1,0,0,1,0
VL 5,1,1,0,0,1,0
VL 7,1,0,1,0,1,0
VL 8,1,0,1,0,1,0
VL 10,1,0,1,0,1,0
VL 11,1,0,0,0,1,0
VL 12,1,0,0,0,1,0
VL 13,1,0,0,1,1,0
VL 14,1,1,1,1,1,1
VL 16,1,1,0,1,1,0
VL 17,1,1,0,1,1,0
VL 20,1,1,0,1,1,0
VL 21,1,1,0,1,1,0
VL 22,1,1,0,1,1,0
VL 23,1,1,0,1,1,0
VL 24,1,1,0,0,1,0
VL 25,1,1,0,0,1,0
VL 26,1,1,0,0,1,1
VL 27,1,0,0,0,1,1
VL 28,1,1,0,1,1,0
VL 29,1,0,0,1,1,0
VL 30,1,0,0,1,1,0
VL 31,1,0,0,0,1,0
VL 32,1,0,0,0,1,0
VL 33,1,0,0,1,1,1
VL 34,1,0,0,1,1,0
VL 35,1,1,0,0,1,1
VL 36,1,0,0,0,1,0
VL 37,1,0,0,0,1,0
VL 38,1,0,0,0,1,0
VL 39,1,0,0,0,1,0
VL 40,1,0,0,0,1,1
VL 41,1,0,0,1,1,0
VL 42,1,0,0,0,1,0
ST 1,1,0,0,1,1,0
ST 2,1,1,0,0,1,0
ST 3,1,1,0,0,1,0
ST 4,1,0,0,0,1,0
ST 5,1,1,0,0,1,0
ST 6,1,0,0,1,1,0
ST 7,1,1,0,0,1,0
ST 8,1,1,0,0,1,0
ST 9,1,1,0,0,1,0
ST 10,1,1,0,0,1,0
ST 11,1,1,0,0,1,0
